,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-03-31 00:00:00+00:00,,,,,,,,,,13.9150848887,,17.3053431823,12.7458216322,19.495199401,46.4519281047,12.8252893886,,12.2877784615,22.2127072059,22.4881075741,,
2000-04-03 00:00:00+00:00,,,,,,,,,,14.3678533775,,17.6005554509,13.3602679161,19.581993097,44.488306309,13.4115537952,,12.3705244444,22.205464719,23.1565275805,,
2000-04-04 00:00:00+00:00,,,,,,,,,,14.2350412875,,17.3820983721,12.8245967968,19.361670638,44.0587640412,13.7862794983,,12.5406134093,21.9519776788,22.8722570031,,
2000-04-05 00:00:00+00:00,,,,,,,,,,14.120339937,,16.8625247795,12.7248149216,19.2882298184,44.3425687538,13.5989166468,,12.7061053751,21.8071279416,22.9029889574,,
2000-04-06 00:00:00+00:00,,,,,,,,,,14.0358231524,,17.3053431823,12.8666102179,19.4551407721,44.9178485768,13.3511141656,,12.784254359,22.2271921796,23.148844592,,
2000-04-07 00:00:00+00:00,,,,,,,,,,13.8124573646,,17.0396521406,12.6040263359,19.7489040508,46.4519281047,13.1818832029,,12.7474783666,22.2851320745,23.148844592,,
2000-04-10 00:00:00+00:00,,,,,,,,,,14.1505245029,,16.791673835,12.9663920931,19.7822862415,44.7797814193,13.5143011654,,12.7198963723,22.1330398504,23.6866537926,,
2000-04-11 00:00:00+00:00,,,,,,,,,,14.4885916412,,17.0868861036,13.0451672577,20.0159615768,43.6752441592,13.7500157206,,13.0508803039,22.3285869957,23.8556795413,,
2000-04-12 00:00:00+00:00,,,,,,,,,,14.8689171718,,17.2344922379,13.186962554,19.6621103548,40.8448674302,13.9132027204,,13.1658052801,21.9230077314,23.8018986213,,
2000-04-13 00:00:00+00:00,,,,,,,,,,14.4523701621,,17.1990667656,12.8403518297,19.71552186,40.062486871,13.8164993131,,13.1795962773,21.365336243,23.3639682722,,
2000-04-14 00:00:00+00:00,,,,,,,,,,13.661534535,,16.8270993073,11.800519657,18.4202928587,37.9684683154,13.1335314993,,12.7015083761,20.0761735816,21.5123680244,,
2000-04-17 00:00:00+00:00,,,,,,,,,,13.6796452745,,16.4197063767,11.9003015322,18.874290653,40.0318052804,13.5143011654,,12.5038374169,20.2427507794,21.5354169901,,
2000-04-18 00:00:00+00:00,,,,,,,,,,13.4200580076,,16.5023658119,12.3729525198,18.9477314727,42.3099133794,13.5989166468,,12.5406134093,20.8004222678,21.9963963049,,
2000-04-19 00:00:00+00:00,,,,,,,,,,13.2510244385,,16.8625247795,12.2101505129,19.0144958542,40.913901009,13.7621036465,,12.6555383856,21.3436087824,22.1577390651,,
